requirement,applicable,comment
"Verify API URLs do not expose sensitive information, such as the API key, session tokens etc.","Yes","Mail uses temporary OAuth, upload, and resource tokens; some scoped or presigned URLs carry credentials in query parameters. Referrer policy mitigates but does not eliminate exposure."
"Verify that authorization decisions are made at both the URI, enforced by programmatic or declarative security at the controller or router, and at the resource level, enforced by model-based permissions.","Yes","URI/action routing and resource-level ownership/org/share authorization are enforced server-side."
"Verify that enabled RESTful HTTP methods are a valid choice for the user or action, such as preventing normal users using DELETE or PUT on protected API or resources.","Yes","Action routes validate HTTP methods and return method errors for mismatches. Some legacy auth routes permit non-POST methods and should be reviewed."
"Verify that the application build and deployment processes are performed in a secure and repeatable way, such as CI / CD automation, automated configuration management, and automated deployment scripts.","Yes","CI uses pinned actions, frozen installs, formatting/lint/type/test gates, and repeatable build scripts. Live production deployment controls were not independently verified."
"Verify that the application, configuration, and all dependencies can be re-deployed using automated deployment scripts, built from a documented and tested runbook in a reasonable time, or restored from backups in a timely fashion.","Yes","Redeployment instructions and build scripts exist, but tested restore/rollback timing and backup recovery evidence were not found."
"Verify that authorized administrators can verify the integrity of all security-relevant configurations to detect tampering.","Yes","Security-relevant configuration is protected by CI checks and deployment guards. Administrator-facing integrity verification and tamper alerting were not evidenced."
"Verify that web or application server and application framework debug modes are disabled in production to eliminate debug features, developer consoles, and unintended security disclosures.","Yes","Production error handling suppresses stack traces unless explicit debug configuration is enabled. A complete production debug-mode inventory was not verified."
"Verify that the supplied Origin header is not used for authentication or access control decisions, as the Origin header can easily be changed by an attacker.","Yes","Origin is used for CSRF/CORS checks, not as the sole identity or authorization decision."
"Verify that user set passwords are at least 12 characters in length","Yes","This control applies, but the current password minimum is 8 characters rather than 12; the requirement is not met as written."
"Verify system generated initial passwords or activation codes SHOULD be securely randomly generated, SHOULD be at least 6 characters long, and MAY contain letters and numbers, and expire after a short period of time. These initial secrets must not be permitted to become the long term password.","Yes","Initial passwords, activation codes, and verification secrets are in scope. Random generation exists in selected flows, but universal expiry and non-reuse policy need confirmation."
"Verify that passwords are stored in a form that is resistant to offline attacks. Passwords SHALL be salted and hashed using an approved one-way key derivation or password hashing function. Key derivation and password hashing functions take a password, a salt, and a cost factor as inputs when generating a password hash. ([C6](https://owasp.org/www-project-proactive-controls/#div-numbering))","Yes","Password storage is delegated to Better Auth's password-hashing flow and is not plaintext. Approved KDF parameters are not independently specified/tested in this repository."
"Verify shared or default accounts are not present (e.g. ""root"", ""admin"", or ""sa"").","Yes","User and admin account provisioning is in scope. A guarded shared dev identity exists when AUTH_DISABLED is enabled; production-like disablement needs confirmation."
"Verify that lookup secrets can be used only once.","Yes","Password-reset and lookup-secret flows are in scope. One-time consumption is dependency-owned and was not independently tested across all lookup secrets."
"Verify that the out of band verifier expires out of band authentication requests, codes, or tokens after 10 minutes.","Yes","Out-of-band verification is in scope. An expiry field exists, but the required maximum 10-minute configuration was not confirmed."
"Verify that the initial authentication code is generated by a secure random number generator, containing at least 20 bits of entropy (typically a six digital random number is sufficient).","Yes","Authentication codes are in scope and several flows use secure randomness. A universal initial-code entropy policy was not established."
"Verify that logout and expiration invalidate the session token, such that the back button or a downstream relying party does not resume an authenticated session, including across relying parties. ([C6](https://owasp.org/www-project-proactive-controls/#div-numbering))","Yes","Logout clears auth cookies and revokes server-side sessions. Downstream relying-party and browser-cache behavior was not separately tested."
"Verify that the application gives the option to terminate all other active sessions after a successful password change (including change via password reset/recovery), and that this is effective across the application, federated login (if present), and any relying parties.","Yes","This control applies, but password-reset revocation is best-effort and no universal password-change/federated-session hook was verified; not met as written."
"Verify the application uses session tokens rather than static API secrets and keys, except with legacy implementations.","Yes","Mail browser authentication uses expiring sessions, while Gmail/OAuth credentials remain server-side; bearer/API paths also exist for integrations and need scope confirmation."
"Verify the application ensures a full, valid login session or requires re-authentication or secondary verification before allowing any sensitive transactions or account modifications.","Yes","Sensitive account/resource changes are in scope. General re-authentication or step-up verification for every sensitive transaction was not found."
"Verify that the application enforces access control rules on a trusted service layer, especially if client-side access control is present and could be bypassed.","Yes","Authorization is enforced in the trusted action/service layer before data access or mutation."
"Verify that all user and data attributes and policy information used by access controls cannot be manipulated by end users unless specifically authorized.","Yes","Ownership, organization, role, and visibility attributes are resolved server-side. Complete mass-assignment coverage across every action was not proven."
"Verify that the principle of least privilege exists - users should only be able to access functions, data files, URLs, controllers, services, and other resources, for which they possess specific authorization. This implies protection against spoofing and elevation of privilege. ([C7](https://owasp.org/www-project-proactive-controls/#div-numbering))","Yes","Least privilege is implemented through owner/org/share scope and viewer/editor/admin thresholds; elevation attempts are rejected by server-side checks."
"Verify that access controls fail securely including when an exception occurs. ([C10](https://owasp.org/www-project-proactive-controls/#div-numbering))","Yes","Invalid credentials and unauthorized resource access fail closed with 401/403 or empty filters rather than successful access."
"Verify that sensitive data and APIs are protected against Insecure Direct Object Reference (IDOR) attacks targeting creation, reading, updating and deletion of records, such as creating or updating someone else's record, viewing everyone's records, or deleting all records.","Yes","Exact-ID resource loading is followed by owner/org/share authorization, with cross-org and stale-share tests."
"Verify administrative interfaces use appropriate multi-factor authentication to prevent unauthorized use.","Yes","Administrative interfaces are in scope. No direct MFA/TOTP/WebAuthn/passkey enforcement for administrators was found."
"Verify that the application has defenses against HTTP parameter pollution attacks, particularly if the application framework makes no distinction about the source of request parameters (GET, POST, cookies, headers, or environment variables).","Yes","Typed action validation is present, but no global duplicate-parameter rejection or query canonicalization control was found."
"Verify that the application sanitizes user input before passing to mail systems to protect against SMTP or IMAP injection.","Yes","Email input sanitizes CR/LF and uses structured provider APIs or constructed MIME rather than raw untrusted SMTP commands; provider-side SMTP/IMAP configuration remains unverified."
"Verify that the application avoids the use of eval() or other dynamic code execution features. Where there is no alternative, any user input being included must be sanitized or sandboxed before being executed.","Yes","No direct eval() or new Function() path was found in templates/mail. Mail renders sanitized content; the framework extension runtime is not treated as Mail app scope."
"Verify that the application protects against SSRF attacks, by validating or sanitizing untrusted data or HTTP file metadata, such as filenames and URL input fields, and uses allow lists of protocols, domains, paths and ports.","Yes","SSRF protections validate private IPs, DNS rebinding, redirects, and HTTPS downgrade for guarded remote URL callsites."
"Verify that the application sanitizes, disables, or sandboxes user-supplied Scalable Vector Graphics (SVG) scriptable content, especially as they relate to XSS resulting from inline scripts, and foreignObject.","Yes","Mail sanitizes message HTML and serves scriptable SVG/HTML uploads as downloads or attachments rather than active content. Upload malware scanning remains unverified."
"Verify that output encoding is relevant for the interpreter and context required. For example, use encoders specifically for HTML values, HTML attributes, JavaScript, URL parameters, HTTP headers, SMTP, and others as the context requires, especially from untrusted inputs (e.g. names with Unicode or apostrophes, such as ねこ or O'Hara). ([C4](https://owasp.org/www-project-proactive-controls/#div-numbering))","Yes","HTML, Markdown, links, and email output are escaped or sanitized for their contexts; trusted HTML escape hatches require review."
"Verify that the application protects against JSON injection attacks, JSON eval attacks, and JavaScript expression evaluation. ([C4](https://owasp.org/www-project-proactive-controls/#div-numbering))","Yes","JSON is parsed/serialized with standard APIs and safe HTML embedding helpers; no JSON eval path was found. A complete injection test matrix is missing."
"Verify that the application protects against LDAP injection vulnerabilities, or that specific security controls to prevent LDAP injection have been implemented. ([C4](https://owasp.org/www-project-proactive-controls/#div-numbering))","No","No LDAP client, filter construction, or LDAP query surface was found in the scoped application, so this control is not applicable."
"Verify that regulated private data is stored encrypted while at rest, such as Personally Identifiable Information (PII), sensitive personal information, or data assessed likely to be subject to EU's GDPR.","Yes","Mail contains email bodies, PII, attachments, and credentials. Secret/private-blob encryption exists, but database, backups, and complete regulated-data-at-rest coverage were not independently verified."
"Verify that all cryptographic operations are constant-time, with no 'short-circuit' operations in comparisons, calculations, or returns, to avoid leaking information.","Yes","Timing-safe comparisons with length checks protect internal, email, Slack, and A2A signatures; cryptographic primitives are delegated to standard libraries."
"Verify that random GUIDs are created using the GUID v4 algorithm, and a Cryptographically-secure Pseudo-random Number Generator (CSPRNG). GUIDs created using other pseudo-random number generators may be predictable.","Yes","Security-sensitive identifiers use CSPRNG-backed UUID/random-byte generation. A non-security Math.random fallback exists, so blanket repository-wide coverage needs confirmation."
"Verify that key material is not exposed to the application but instead uses an isolated security module like a vault for cryptographic operations. ([C8](https://owasp.org/www-project-proactive-controls/#div-numbering))","Yes","Key material is used for server-side encryption and is not sent to browser clients. Direct environment-key handling is present and no HSM/KMS custody integration was verified."
"Verify that the application does not log credentials or payment details. Session tokens should only be stored in logs in an irreversible, hashed form. ([C9, C10](https://owasp.org/www-project-proactive-controls/#div-numbering))","Yes","Mail handles email recipients, subjects, and bodies. Audit/Sentry redaction covers credentials and tokens, but non-production fallback logging can include recipient, subject, and body; production log policy needs confirmation."
"Verify the application protects sensitive data from being cached in server components such as load balancers and application caches.","Yes","Mail server responses use cache controls for sensitive context; client-side thread caching is a separate concern and stores email-derived data. CDN/load-balancer behavior was not independently audited."
"Verify that data stored in browser storage (such as localStorage, sessionStorage, IndexedDB, or cookies) does not contain sensitive data.","Yes","Mail stores selected account email, active-account metadata, preferences, and thread cache in localStorage; some may be email-derived or sensitive. No global classification/clearing policy was verified."
"Verify that sensitive data is sent to the server in the HTTP message body or headers, and that query string parameters from any HTTP verb do not contain sensitive data.","Yes","Mail OAuth, upload, and resource flows can carry temporary or signed tokens in URL/query parameters; referrer/private-response mitigations do not remove the exposure."
"Verify accessing sensitive data is audited (without logging the sensitive data itself), if the data is collected under relevant data protection directives or where logging of access is required.","Yes","Mail mutations are audited, but sensitive message reads are not universally audited because read auditing is opt-in and audit failures can be swallowed."
"Verify that connections to and from the server use trusted TLS certificates. Where locally generated or self-signed certificates are used, the server must be configured to only trust specific local CAs and specific self-signed certificates. All others should be rejected.","Yes","Hosted application connections use HTTPS and security headers are configured. Certificate issuer/expiry/trust policy and local self-signed handling need deployment confirmation."
"Verify that proper certification revocation, such as Online Certificate Status Protocol (OCSP) Stapling, is enabled and configured.","Yes","Mail's hosted endpoint uses TLS; OCSP stapling or equivalent certificate-revocation configuration was not found in repository evidence."
